Applicant ID,Name,Education,Work Experience (Years),Skills,Certifications,Resume Keywords,Job Title,Required Skills,Experience Level Required,Industry Terms,Interview Score,Hiring Decision,Recruiter Notes
8867,Chris Lee,Bachelor's,8,"SQL, Leadership, Python",Six Sigma Green Belt,"Data Analysis, PMP, Big Data, Machine Learning, Project Management",Project Manager,"Machine Learning, Python, Project Management",Entry-level,Big Data,7,Hired,Excellent technical skills
8377,Emily Davis,Master's,8,"Python, Java, Excel, Leadership",PMP,"Leadership, Python, Machine Learning",Business Analyst,"SQL, Project Management, Java",Mid-level,Agile,4,Hired,Excellent technical skills
8481,Emily Davis,Master's,3,"Excel, Machine Learning, SQL, Leadership, Data Analysis",,"Machine Learning, Cloud Computing, Agile, DevOps",Project Manager,"Machine Learning, Python",Entry-level,Cloud Computing,7,Hired,Needs more experience
9810,Michael Brown,PhD,16,"SQL, Excel, Project Management, Java",,"Project Management, Big Data, SQL, PMP, Machine Learning, Java",Data Scientist,"Project Management, SQL, Python, Machine Learning",Mid-level,DevOps,5,Hired,Needs more experience
6502,Chris Lee,Master's,15,"Excel, SQL, Python, Data Analysis",,"Java, PMP, Excel, Certified Data Scientist, Leadership",Data Scientist,"Machine Learning, Project Management",Mid-level,Agile,6,Hired,Needs more experience
1558,Jane Smith,Bachelor's,3,"Machine Learning, Leadership, SQL, Project Management, Data Analysis",Certified Data Scientist,"Certified Data Scientist, Machine Learning, AWS Certified, Big Data",Project Manager,"Python, Project Management, SQL, Java",Entry-level,DevOps,6,Not Hired,Excellent technical skills
3562,Chris Lee,PhD,7,"Python, Java, Project Management, Machine Learning, Excel","Certified Data Scientist, PMP","Data Analysis, Agile, Excel, Cloud Computing",Business Analyst,"Python, Project Management, SQL",Entry-level,Big Data,6,Not Hired,Needs more experience
1796,Sarah Johnson,PhD,17,"Machine Learning, Project Management, Java","PMP, AWS Certified","Certified Data Scientist, Data Analysis, Project Management, PMP, Leadership",Business Analyst,"Python, Java, Project Management",Mid-level,DevOps,8,Hired,Excellent technical skills
7132,Chris Lee,PhD,5,"Project Management, SQL, Python",,"Python, Excel, Project Management, Data Analysis",Project Manager,"Project Management, Python",Senior-level,Big Data,7,Not Hired,Good fit for the team
1947,John Doe,PhD,1,"Project Management, Python, Data Analysis, Machine Learning","Certified Data Scientist, Six Sigma Green Belt","Project Management, Machine Learning, Excel, Certified Data Scientist, PMP, Java",Project Manager,"Project Management, Java, Machine Learning",Mid-level,Big Data,6,Not Hired,Needs more experience
7182,John Doe,Master's,13,"Data Analysis, Machine Learning, Project Management, Excel, Python","AWS Certified, Six Sigma Green Belt","Big Data, PMP, DevOps",Business Analyst,"Project Management, Machine Learning, Java, Python",Senior-level,Cloud Computing,6,Not Hired,Strong candidate
7275,Sarah Johnson,PhD,6,"Python, Leadership, Machine Learning, Excel",PMP,"Six Sigma Green Belt, Excel, Project Management, Cloud Computing, Java",Software Engineer,"Machine Learning, SQL, Project Management",Senior-level,Big Data,1,Hired,Needs more experience
6099,Jane Smith,Bachelor's,19,"SQL, Leadership, Excel",,"DevOps, Six Sigma Green Belt, Big Data, AWS Certified",Project Manager,"Machine Learning, Python, SQL",Entry-level,Cloud Computing,2,Hired,Good fit for the team
2371,Sarah Johnson,PhD,8,"Machine Learning, Java",PMP,"Leadership, Data Analysis, Six Sigma Green Belt",Software Engineer,"Machine Learning, Java, Python, Project Management",Mid-level,Big Data,10,Not Hired,Excellent technical skills
4380,John Doe,Master's,17,"Java, Python, Project Management, Excel, Machine Learning","Certified Data Scientist, AWS Certified","Machine Learning, Python, Certified Data Scientist, Big Data, Leadership",Project Manager,"Python, SQL, Machine Learning",Entry-level,DevOps,5,Not Hired,Strong candidate
8346,Michael Brown,Bachelor's,5,"Excel, Project Management","AWS Certified, PMP","Java, Six Sigma Green Belt, DevOps, Leadership",Project Manager,"Machine Learning, SQL",Entry-level,Agile,4,Not Hired,Strong candidate
4703,Chris Lee,Bachelor's,20,"SQL, Java, Leadership, Excel, Machine Learning",Six Sigma Green Belt,"Machine Learning, DevOps, Leadership",Data Scientist,"Python, SQL, Project Management, Java",Entry-level,Big Data,6,Not Hired,Good fit for the team
7186,Jane Smith,Master's,15,"SQL, Python",Six Sigma Green Belt,"DevOps, Certified Data Scientist, PMP, Python, Leadership, Agile",Data Scientist,"Python, Java, Machine Learning",Senior-level,Big Data,6,Hired,Excellent technical skills
8377,Jane Smith,Bachelor's,13,"Java, Project Management, Excel, Python",,"Agile, Leadership, Python",Software Engineer,"SQL, Machine Learning",Mid-level,Big Data,10,Not Hired,Good fit for the team
3933,Sarah Johnson,Master's,6,"Data Analysis, Machine Learning, Project Management, Java",,"Agile, AWS Certified, Machine Learning, Certified Data Scientist",Software Engineer,"SQL, Python, Java",Entry-level,DevOps,1,Not Hired,Excellent technical skills
7895,John Doe,PhD,19,"SQL, Java, Python","Certified Data Scientist, Six Sigma Green Belt","AWS Certified, PMP, Excel, Machine Learning, Cloud Computing, Python",Business Analyst,"Java, Machine Learning, SQL, Python",Mid-level,Cloud Computing,9,Hired,Good fit for the team
7045,Jane Smith,Master's,6,"Excel, Leadership, SQL, Python","AWS Certified, Six Sigma Green Belt","SQL, Java, Certified Data Scientist, Data Analysis, Six Sigma Green Belt",Data Scientist,"Project Management, SQL",Mid-level,DevOps,2,Not Hired,Excellent technical skills
4466,John Doe,Master's,10,"Excel, Java, Project Management",,"Data Analysis, DevOps, AWS Certified",Software Engineer,"Project Management, Java, SQL",Entry-level,Big Data,4,Hired,Good fit for the team
3355,Jane Smith,PhD,20,"Python, Project Management, Excel, Leadership","Certified Data Scientist, PMP","PMP, Big Data, AWS Certified, Leadership, Java",Data Scientist,"Machine Learning, Java, SQL, Python",Senior-level,Big Data,6,Not Hired,Needs more experience
2640,John Doe,Bachelor's,9,"Machine Learning, Java","AWS Certified, Certified Data Scientist","Cloud Computing, DevOps, Leadership, AWS Certified, SQL, Big Data",Software Engineer,"Machine Learning, Java, Project Management",Senior-level,DevOps,1,Not Hired,Good fit for the team
8387,Jane Smith,PhD,1,"Machine Learning, Data Analysis, Project Management","Six Sigma Green Belt, AWS Certified","Data Analysis, Java, PMP, Six Sigma Green Belt, Machine Learning, Cloud Computing",Data Scientist,"SQL, Java, Project Management",Senior-level,Big Data,1,Hired,Strong candidate
5746,Chris Lee,PhD,18,"Python, Leadership, Java, Machine Learning, Data Analysis",Certified Data Scientist,"Data Analysis, Agile, Leadership",Software Engineer,"Python, SQL, Project Management",Mid-level,Agile,10,Hired,Strong candidate
2028,Michael Brown,Master's,5,"Project Management, Machine Learning, Python, Data Analysis, Excel",,"Data Analysis, PMP, Excel, SQL, Big Data, Machine Learning",Software Engineer,"SQL, Project Management",Entry-level,Agile,7,Not Hired,Needs more experience
3041,Emily Davis,PhD,15,"Python, Excel, Leadership","Certified Data Scientist, AWS Certified","SQL, Data Analysis, Leadership, Project Management, Certified Data Scientist, Six Sigma Green Belt",Data Scientist,"Python, Project Management, Machine Learning",Entry-level,Agile,7,Not Hired,Good fit for the team
8736,Sarah Johnson,PhD,8,"Java, Leadership, Data Analysis, Python",Certified Data Scientist,"Python, PMP, Cloud Computing, DevOps, Project Management, Certified Data Scientist",Software Engineer,"Project Management, SQL, Machine Learning",Mid-level,Cloud Computing,5,Hired,Needs more experience
8373,Chris Lee,Bachelor's,5,"Leadership, Python, SQL",Certified Data Scientist,"Certified Data Scientist, Data Analysis, SQL, Agile, Project Management, DevOps",Data Scientist,"Python, Machine Learning, SQL",Entry-level,DevOps,5,Not Hired,Strong candidate
4908,Sarah Johnson,PhD,13,"Machine Learning, Python",,"Agile, Six Sigma Green Belt, Python, AWS Certified, DevOps, Cloud Computing",Software Engineer,"Python, Project Management, SQL, Machine Learning",Senior-level,DevOps,6,Not Hired,Excellent technical skills
5340,Michael Brown,Bachelor's,12,"Data Analysis, Excel, Leadership, SQL","Six Sigma Green Belt, PMP","AWS Certified, Big Data, Data Analysis, PMP, DevOps, Python",Data Scientist,"Machine Learning, Project Management",Mid-level,DevOps,2,Hired,Needs more experience
5652,Emily Davis,Master's,19,"Leadership, SQL, Python",,"Agile, Excel, Certified Data Scientist, Leadership, Java, DevOps",Project Manager,"Java, SQL",Entry-level,DevOps,2,Not Hired,Excellent technical skills
4745,Emily Davis,PhD,20,"Python, Project Management, Data Analysis","PMP, Six Sigma Green Belt","Big Data, Python, DevOps, Project Management, SQL, Machine Learning",Business Analyst,"Machine Learning, SQL, Python",Senior-level,Cloud Computing,7,Hired,Needs more experience
1661,Emily Davis,Bachelor's,7,"Data Analysis, Python",,"Project Management, Agile, PMP, Certified Data Scientist",Data Scientist,"Java, Project Management",Mid-level,Big Data,8,Not Hired,Good fit for the team
4611,Jane Smith,PhD,1,"SQL, Excel, Python, Java",,"Big Data, Python, SQL, Six Sigma Green Belt, Project Management",Software Engineer,"Python, Java",Entry-level,DevOps,9,Hired,Needs more experience
9592,Jane Smith,PhD,19,"Java, Machine Learning",,"Data Analysis, Leadership, AWS Certified, Certified Data Scientist, Excel, SQL",Data Scientist,"Machine Learning, Java",Senior-level,DevOps,3,Not Hired,Needs more experience
6315,John Doe,Master's,1,"Java, SQL, Data Analysis",,"Six Sigma Green Belt, Certified Data Scientist, Excel, AWS Certified",Project Manager,"SQL, Machine Learning, Python, Java",Entry-level,Big Data,7,Hired,Excellent technical skills
7503,John Doe,PhD,20,"Leadership, SQL",,"Java, DevOps, Leadership",Business Analyst,"Python, Machine Learning, Project Management",Entry-level,DevOps,10,Hired,Strong candidate
4933,Emily Davis,Bachelor's,7,"Data Analysis, SQL, Project Management, Machine Learning, Excel",PMP,"Agile, Big Data, Data Analysis, Project Management",Business Analyst,"Java, Machine Learning, Project Management, Python",Entry-level,DevOps,10,Not Hired,Strong candidate
4615,Jane Smith,Bachelor's,14,"Java, Leadership, Python","Certified Data Scientist, Six Sigma Green Belt","Java, Project Management, Python, Big Data",Software Engineer,"Project Management, Machine Learning, Java, SQL",Mid-level,Agile,5,Not Hired,Excellent technical skills
6635,Emily Davis,Master's,17,"Excel, Leadership, Python",Six Sigma Green Belt,"AWS Certified, Data Analysis, Project Management, Java",Business Analyst,"Java, Project Management",Entry-level,Cloud Computing,10,Not Hired,Good fit for the team
4015,Jane Smith,PhD,2,"Java, Data Analysis, SQL, Excel, Machine Learning",Six Sigma Green Belt,"DevOps, AWS Certified, PMP, Six Sigma Green Belt, Python, Cloud Computing",Data Scientist,"Machine Learning, SQL, Python, Project Management",Senior-level,DevOps,7,Hired,Needs more experience
3179,John Doe,Bachelor's,15,"Leadership, Data Analysis, Machine Learning, Python",,"Certified Data Scientist, Python, SQL, Leadership",Data Scientist,"Java, SQL, Project Management, Python",Mid-level,Agile,7,Not Hired,Strong candidate
4856,Chris Lee,Master's,19,"Python, Machine Learning","Certified Data Scientist, AWS Certified","Java, AWS Certified, SQL, Agile",Business Analyst,"Project Management, Java, SQL, Python",Entry-level,Agile,1,Not Hired,Excellent technical skills
7963,Emily Davis,PhD,4,"Python, Project Management, Machine Learning",,"Python, Machine Learning, Certified Data Scientist, Cloud Computing, Agile, SQL",Business Analyst,"Project Management, SQL",Mid-level,Agile,2,Hired,Strong candidate
5261,Jane Smith,PhD,2,"Python, Project Management, Leadership, Java",,"Project Management, Data Analysis, Machine Learning, Agile, Leadership, AWS Certified",Project Manager,"Machine Learning, SQL, Project Management",Senior-level,Agile,5,Hired,Strong candidate
2327,Michael Brown,Master's,17,"Project Management, Data Analysis, Excel, SQL, Machine Learning",AWS Certified,"Certified Data Scientist, Machine Learning, Six Sigma Green Belt, Python, SQL, Java",Data Scientist,"Project Management, SQL",Mid-level,Cloud Computing,4,Hired,Excellent technical skills
7289,Sarah Johnson,PhD,20,"Leadership, Machine Learning, Project Management",,"Project Management, Python, Big Data, Data Analysis",Business Analyst,"Machine Learning, SQL, Python, Java",Entry-level,Cloud Computing,1,Hired,Good fit for the team
8391,John Doe,PhD,3,"Excel, Machine Learning, Project Management, Java",Certified Data Scientist,"Data Analysis, Big Data, Leadership, Java, Cloud Computing",Software Engineer,"Project Management, Python, Java",Entry-level,Agile,10,Hired,Needs more experience
4933,Emily Davis,Master's,6,"Project Management, Machine Learning, Java",,"Certified Data Scientist, Cloud Computing, Project Management, SQL, Data Analysis",Project Manager,"Machine Learning, Python, Project Management, SQL",Mid-level,Cloud Computing,7,Hired,Needs more experience
1559,Jane Smith,Bachelor's,14,"Java, Leadership, Python, Project Management","Certified Data Scientist, Six Sigma Green Belt","Java, Six Sigma Green Belt, Big Data",Software Engineer,"Machine Learning, SQL, Java, Project Management",Senior-level,Big Data,2,Hired,Strong candidate
2569,John Doe,Master's,2,"Leadership, Project Management, Data Analysis, Excel, Machine Learning",PMP,"AWS Certified, Cloud Computing, Excel, Six Sigma Green Belt, DevOps",Project Manager,"Python, Machine Learning, SQL, Project Management",Senior-level,DevOps,5,Hired,Needs more experience
8122,Emily Davis,Master's,9,"SQL, Leadership, Python, Project Management",,"Leadership, SQL, Cloud Computing, Data Analysis, AWS Certified",Project Manager,"SQL, Project Management, Python",Entry-level,DevOps,7,Hired,Needs more experience
8075,Michael Brown,Master's,19,"Excel, SQL",,"Project Management, Data Analysis, DevOps, Agile, Six Sigma Green Belt, Leadership",Project Manager,"SQL, Machine Learning",Entry-level,Big Data,8,Hired,Good fit for the team
1325,John Doe,PhD,1,"Machine Learning, Python, SQL, Data Analysis, Leadership",PMP,"Certified Data Scientist, DevOps, Machine Learning",Data Scientist,"SQL, Machine Learning, Project Management",Entry-level,Big Data,1,Not Hired,Excellent technical skills
2867,Jane Smith,Master's,14,"Data Analysis, Project Management","Six Sigma Green Belt, PMP","Cloud Computing, Excel, Project Management, SQL, DevOps, Certified Data Scientist",Project Manager,"Project Management, Python",Senior-level,Big Data,2,Hired,Strong candidate
2417,Michael Brown,Master's,2,"SQL, Data Analysis, Project Management, Machine Learning, Excel",,"AWS Certified, Excel, Six Sigma Green Belt, DevOps",Business Analyst,"Machine Learning, Project Management",Mid-level,Big Data,3,Hired,Good fit for the team
6712,John Doe,PhD,9,"Machine Learning, SQL, Project Management, Data Analysis, Excel",Certified Data Scientist,"Data Analysis, DevOps, AWS Certified, SQL, Cloud Computing, PMP",Business Analyst,"Machine Learning, Python, SQL",Senior-level,Agile,2,Hired,Excellent technical skills
6619,Emily Davis,Master's,6,"Java, Project Management",,"Data Analysis, Machine Learning, Excel",Business Analyst,"Python, Java, SQL, Machine Learning",Entry-level,Big Data,10,Hired,Strong candidate
1401,Emily Davis,PhD,11,"Python, Leadership, Machine Learning, Data Analysis",AWS Certified,"Cloud Computing, Python, Excel, Big Data, PMP",Business Analyst,"Python, Project Management",Senior-level,DevOps,1,Hired,Needs more experience
5164,Emily Davis,Bachelor's,13,"Project Management, Data Analysis, Python, Machine Learning, Java",Certified Data Scientist,"SQL, Certified Data Scientist, Machine Learning, Project Management, Excel, Java",Data Scientist,"Python, Machine Learning, Project Management, Java",Senior-level,Agile,4,Hired,Excellent technical skills
6557,John Doe,PhD,9,"Project Management, Java","Six Sigma Green Belt, Certified Data Scientist","SQL, Python, Leadership, Cloud Computing",Data Scientist,"Java, SQL, Machine Learning, Project Management",Entry-level,Big Data,7,Hired,Strong candidate
3873,Chris Lee,PhD,4,"Excel, Project Management, Java, Machine Learning",AWS Certified,"PMP, Java, Agile, DevOps, Big Data, Six Sigma Green Belt",Data Scientist,"SQL, Machine Learning, Python, Project Management",Entry-level,Agile,10,Not Hired,Excellent technical skills
4168,Jane Smith,Bachelor's,14,"Data Analysis, Leadership, Project Management, Java","Certified Data Scientist, AWS Certified","PMP, SQL, AWS Certified, Six Sigma Green Belt, Big Data, Excel",Business Analyst,"Machine Learning, Project Management, Python",Entry-level,Agile,5,Not Hired,Strong candidate
7269,Jane Smith,Bachelor's,2,"Python, Leadership, Java, Machine Learning, Data Analysis",,"SQL, DevOps, PMP, Six Sigma Green Belt, Python, Machine Learning",Project Manager,"Project Management, Python, Java",Mid-level,Agile,10,Hired,Good fit for the team
1869,John Doe,Master's,1,"Java, Leadership, Machine Learning","AWS Certified, Six Sigma Green Belt","Machine Learning, Excel, Data Analysis, DevOps, PMP, Big Data",Data Scientist,"Project Management, SQL, Machine Learning",Mid-level,Agile,10,Hired,Strong candidate
6810,Sarah Johnson,Master's,7,"Leadership, Java, Python, Machine Learning",,"AWS Certified, Six Sigma Green Belt, DevOps",Project Manager,"Machine Learning, Python, Project Management, Java",Senior-level,DevOps,3,Not Hired,Excellent technical skills
7332,Emily Davis,PhD,7,"Machine Learning, Java, Python, Excel",,"Leadership, Big Data, Machine Learning",Project Manager,"Python, Machine Learning",Mid-level,Cloud Computing,10,Hired,Excellent technical skills
4774,Michael Brown,Master's,16,"Leadership, Data Analysis, Java",,"DevOps, Data Analysis, Python, Project Management",Data Scientist,"SQL, Machine Learning, Project Management, Java",Entry-level,DevOps,4,Hired,Strong candidate
2066,Jane Smith,Master's,2,"Project Management, Python","AWS Certified, Six Sigma Green Belt","Java, Data Analysis, DevOps, AWS Certified",Software Engineer,"Project Management, Python, Java, SQL",Entry-level,Agile,1,Not Hired,Strong candidate
4247,Sarah Johnson,PhD,16,"Leadership, Project Management, Python, SQL",,"Machine Learning, Certified Data Scientist, Python, Cloud Computing",Software Engineer,"Python, Machine Learning, Java, Project Management",Senior-level,Big Data,7,Hired,Needs more experience
6922,Chris Lee,Bachelor's,1,"Machine Learning, Excel, Leadership",,"Cloud Computing, DevOps, PMP",Data Scientist,"Java, SQL, Machine Learning, Python",Senior-level,Cloud Computing,1,Not Hired,Good fit for the team
3611,Emily Davis,Bachelor's,7,"Machine Learning, Leadership, Excel, SQL, Python",Certified Data Scientist,"Agile, Leadership, Data Analysis, Java, PMP",Software Engineer,"SQL, Java, Project Management",Senior-level,Agile,3,Not Hired,Needs more experience
3884,Jane Smith,Master's,18,"Java, Leadership, Project Management, Excel, Python",,"Data Analysis, Python, SQL, Six Sigma Green Belt, Project Management",Project Manager,"Machine Learning, Java, Project Management, SQL",Entry-level,Agile,9,Not Hired,Strong candidate
6437,Chris Lee,Bachelor's,17,"Machine Learning, Leadership, Excel","Certified Data Scientist, AWS Certified","Machine Learning, PMP, Data Analysis",Data Scientist,"Machine Learning, Python, Java, Project Management",Mid-level,Big Data,5,Not Hired,Needs more experience
2975,Emily Davis,Master's,18,"Python, Excel, Project Management, Data Analysis, SQL",,"Python, Project Management, PMP, Data Analysis, Java, Certified Data Scientist",Business Analyst,"SQL, Python",Mid-level,Cloud Computing,4,Hired,Needs more experience
4590,Sarah Johnson,PhD,6,"Machine Learning, Leadership, SQL, Project Management, Excel","PMP, Six Sigma Green Belt","DevOps, Cloud Computing, Six Sigma Green Belt, Project Management",Data Scientist,"Machine Learning, Python",Senior-level,Cloud Computing,5,Hired,Strong candidate
5646,John Doe,Bachelor's,13,"Java, Python, Excel",Six Sigma Green Belt,"Certified Data Scientist, Data Analysis, Leadership",Project Manager,"Machine Learning, Python, SQL",Senior-level,DevOps,1,Hired,Excellent technical skills
4164,John Doe,Master's,19,"Machine Learning, Python",PMP,"Agile, Machine Learning, Big Data, SQL",Business Analyst,"Project Management, Java",Senior-level,DevOps,6,Not Hired,Strong candidate
3929,Emily Davis,Master's,15,"Excel, Data Analysis",PMP,"Java, Excel, Big Data, Data Analysis, Python, AWS Certified",Software Engineer,"SQL, Python",Senior-level,DevOps,4,Hired,Needs more experience
9429,Sarah Johnson,Bachelor's,10,"Machine Learning, Python, Excel, SQL, Project Management",AWS Certified,"Agile, Data Analysis, PMP, Leadership",Software Engineer,"Machine Learning, SQL",Mid-level,Agile,2,Hired,Needs more experience
4195,Sarah Johnson,Bachelor's,11,"Python, Excel, Java, Project Management, Data Analysis",,"Project Management, Cloud Computing, Java, AWS Certified, Big Data, Agile",Software Engineer,"Project Management, Machine Learning",Entry-level,Agile,6,Hired,Excellent technical skills
1864,John Doe,Bachelor's,15,"Excel, Data Analysis","AWS Certified, PMP","Machine Learning, AWS Certified, Certified Data Scientist, Java",Data Scientist,"Machine Learning, Python, Java",Senior-level,Agile,8,Not Hired,Needs more experience
2069,Sarah Johnson,Bachelor's,10,"SQL, Excel, Data Analysis, Project Management",,"Machine Learning, AWS Certified, Leadership",Software Engineer,"Project Management, Machine Learning",Mid-level,DevOps,3,Hired,Strong candidate
4719,Sarah Johnson,Master's,4,"Machine Learning, SQL",,"Excel, Project Management, DevOps, Machine Learning, Certified Data Scientist, PMP",Business Analyst,"Python, SQL",Mid-level,DevOps,5,Not Hired,Excellent technical skills
9228,Jane Smith,Master's,10,"Excel, SQL, Data Analysis, Machine Learning, Python",Certified Data Scientist,"PMP, Project Management, Six Sigma Green Belt, Python",Project Manager,"Machine Learning, Java",Mid-level,Big Data,1,Not Hired,Strong candidate
5662,Jane Smith,PhD,13,"Excel, Data Analysis, SQL",,"Machine Learning, Leadership, Project Management, Data Analysis, SQL, Agile",Business Analyst,"Machine Learning, Java, Python, Project Management",Senior-level,Cloud Computing,10,Not Hired,Strong candidate
1533,Michael Brown,Bachelor's,8,"Machine Learning, Java, SQL, Excel, Project Management",PMP,"Six Sigma Green Belt, Cloud Computing, AWS Certified, Leadership, Certified Data Scientist, DevOps",Business Analyst,"SQL, Java, Project Management",Mid-level,Agile,1,Hired,Good fit for the team
9395,Chris Lee,PhD,12,"Python, Machine Learning","Certified Data Scientist, Six Sigma Green Belt","Cloud Computing, Six Sigma Green Belt, Python, Project Management",Software Engineer,"Project Management, Machine Learning",Entry-level,Big Data,1,Not Hired,Needs more experience
4529,Chris Lee,Bachelor's,12,"Excel, Data Analysis, SQL",,"Certified Data Scientist, Big Data, Python, Cloud Computing, Java",Project Manager,"Java, SQL, Project Management",Entry-level,Agile,10,Hired,Excellent technical skills
4459,John Doe,PhD,10,"Python, Data Analysis","Certified Data Scientist, Six Sigma Green Belt","Leadership, Machine Learning, Data Analysis, AWS Certified, SQL, Python",Project Manager,"Python, Project Management",Senior-level,Agile,2,Not Hired,Needs more experience
2046,Sarah Johnson,PhD,4,"Data Analysis, Project Management, Leadership",AWS Certified,"Excel, SQL, Six Sigma Green Belt, AWS Certified, Certified Data Scientist, Java",Project Manager,"Python, Machine Learning, SQL",Senior-level,DevOps,8,Not Hired,Needs more experience
4345,Sarah Johnson,PhD,14,"Excel, Python","Six Sigma Green Belt, AWS Certified","Big Data, Machine Learning, Cloud Computing, Python",Software Engineer,"Java, Project Management",Entry-level,DevOps,2,Not Hired,Good fit for the team
7511,Chris Lee,Master's,14,"Leadership, SQL",,"Agile, SQL, PMP, Big Data, Excel, AWS Certified",Business Analyst,"SQL, Project Management",Entry-level,Agile,2,Hired,Excellent technical skills
1766,Michael Brown,Bachelor's,9,"Excel, Machine Learning, Python","AWS Certified, PMP","Java, Machine Learning, SQL, Cloud Computing, Excel",Project Manager,"SQL, Python, Java",Mid-level,Big Data,10,Hired,Needs more experience
5624,Michael Brown,PhD,1,"Java, Data Analysis, Machine Learning, Python, Project Management","Six Sigma Green Belt, Certified Data Scientist","Big Data, Six Sigma Green Belt, Data Analysis, Machine Learning",Business Analyst,"Machine Learning, SQL",Mid-level,Cloud Computing,9,Not Hired,Good fit for the team
4003,Chris Lee,Bachelor's,19,"Java, Excel, Project Management, SQL, Data Analysis",Certified Data Scientist,"Leadership, Six Sigma Green Belt, PMP, Machine Learning, DevOps",Business Analyst,"Python, SQL",Entry-level,Cloud Computing,2,Hired,Strong candidate
6781,Chris Lee,Bachelor's,15,"Data Analysis, Project Management","Certified Data Scientist, AWS Certified","Data Analysis, Java, Agile, Leadership",Project Manager,"Python, SQL",Mid-level,Agile,4,Hired,Good fit for the team
